task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-24T22:08:02,text_classification_benchmarks,da24c474-7b80-49cd-9e76-d177ce1030e8,0.5183930397033691,4.798779545335379e-06,9.193806208572964e-06,42.5,0.0,141.20075225830078,6.159860723548466e-06,0,2.043825889497839e-05,2.6598119618526854e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
split_vectorizer_fit,2024-05-24T22:08:16,text_classification_benchmarks,da24c474-7b80-49cd-9e76-d177ce1030e8,13.765649557113647,0.00012671079219679762,9.205603684305542e-06,42.5,0.0,141.20075225830078,0.0001624961919254727,0,0.0005398217153609266,0.0007023179072863994,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
train_classifier,2024-05-24T22:08:28,text_classification_benchmarks,da24c474-7b80-49cd-9e76-d177ce1030e8,12.081045627593994,0.00011120102192122675,9.205871603241273e-06,42.5,0.0,141.20075225830078,0.0001426021792822414,0,0.0004737499691798121,0.0006163521484620533,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_models,2024-05-24T22:08:32,text_classification_benchmarks,da24c474-7b80-49cd-9e76-d177ce1030e8,3.5960118770599365,3.3075482342544924e-05,9.205292521003447e-06,42.5,0.0,141.20075225830078,4.241745322942735e-05,0,0.0001409095005254358,0.0001833269537548632,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
predict_and_save_report,2024-05-24T22:08:32,text_classification_benchmarks,da24c474-7b80-49cd-9e76-d177ce1030e8,0.17398381233215332,1.5968884496988774e-06,9.184704598671216e-06,42.5,0.0,141.20075225830078,2.0512003037664503e-06,0,6.7998480932829255e-06,8.85104839704943e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
