task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-25T15:40:03,text_classification_benchmarks,5a7f2be7-24ab-47dc-b2e1-d26733703d45,0.3688628673553467,3.4504022876255537e-06,9.196658223240193e-06,42.5,0.0,141.20069217681885,4.42811068561342e-06,0,1.4696379595985717e-05,1.9124490281599138e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
split_vectorizer_fit,2024-05-25T15:40:13,text_classification_benchmarks,5a7f2be7-24ab-47dc-b2e1-d26733703d45,10.378112316131592,9.547078791451534e-05,9.205587867558568e-06,42.5,0.0,141.20069217681885,0.0001224333907167117,0,0.0004067310380792804,0.0005291644287959922,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
train_classifier,2024-05-25T15:40:25,text_classification_benchmarks,5a7f2be7-24ab-47dc-b2e1-d26733703d45,11.511540174484253,0.00010595619148791594,9.205817867604082e-06,42.5,0.0,141.20069217681885,0.0001358771199981372,0,0.00045140458963125645,0.0005872817096293936,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
save_models,2024-05-25T15:40:27,text_classification_benchmarks,5a7f2be7-24ab-47dc-b2e1-d26733703d45,2.689728260040283,2.474438091722595e-05,9.204618054031094e-06,42.5,0.0,141.20069217681885,3.173518776893616e-05,0,0.00010541510165465754,0.00013715028942359376,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
predict_and_save_report_neural,2024-05-25T15:40:27,text_classification_benchmarks,5a7f2be7-24ab-47dc-b2e1-d26733703d45,0.1412220001220703,1.2963069347508318e-06,9.183353339694985e-06,42.5,0.0,141.20069217681885,1.6654590765635257e-06,0,5.519560903432044e-06,7.18501997999557e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
