task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-25T00:36:06,query_expansion_embeddings,c7e72ae7-8c9b-461d-86c8-00470d443ce4,1.5585687160491943,1.592422194897546e-05,1.020569340537701e-05,62.5,0.0,141.20075225830078,2.708752950032552e-05,0,6.117540407046818e-05,8.82629335707937e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load_model,2024-05-25T00:36:24,query_expansion_embeddings,c7e72ae7-8c9b-461d-86c8-00470d443ce4,18.27014994621277,0.0001864857024967532,1.0208172621707238e-05,62.5,0.0,141.20075225830078,0.00031715488268269434,0,0.0007164764761437709,0.001033631358826465,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
expand_query,2024-05-25T00:36:24,query_expansion_embeddings,c7e72ae7-8c9b-461d-86c8-00470d443ce4,0.16034460067749023,1.5736411038027968e-06,1.0159307194808063e-05,62.5,0.0,141.20075225830078,2.6853341195318386e-06,0,6.036861580469141e-06,8.72219570000098e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
calculate_percentage,2024-05-25T00:36:25,query_expansion_embeddings,c7e72ae7-8c9b-461d-86c8-00470d443ce4,0.1233222484588623,1.3017488579737256e-06,1.0175805952725937e-05,62.5,0.0,141.20075225830078,2.2189401917987214e-06,0,4.996242650122493e-06,7.21518284192116e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_results,2024-05-25T00:36:25,query_expansion_embeddings,c7e72ae7-8c9b-461d-86c8-00470d443ce4,0.016591787338256836,1.4606588662601102e-07,9.624153393012937e-06,62.5,0.0,141.20075225830078,2.585310075018006e-07,0,5.510660760819994e-07,8.095970835838e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
printing_results_terminal,2024-05-25T00:36:25,query_expansion_embeddings,c7e72ae7-8c9b-461d-86c8-00470d443ce4,0.006586551666259766,4.7049388145198453e-07,9.892940814385684e-06,62.5,0.0,141.20075225830078,8.174818423059256e-07,0,1.7903171658417618e-06,2.607799008147579e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
