task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-25T15:49:56,query_expansion_embeddings,2e62c1b3-d751-4db3-b173-d3859df3b1ec,1.1419486999511719,1.1673000570769645e-05,1.0204885741598425e-05,62.5,0.0,141.20069217681885,1.985718806584676e-05,0,4.484256789403332e-05,6.469975595988007e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
load_model,2024-05-25T15:50:09,query_expansion_embeddings,2e62c1b3-d751-4db3-b173-d3859df3b1ec,12.32481837272644,0.00012579786533106543,1.0208205726195918e-05,62.5,0.0,141.20069217681885,0.00021394266022576225,0,0.00048331518173604543,0.0006972578419618076,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
expand_query,2024-05-25T15:50:09,query_expansion_embeddings,2e62c1b3-d751-4db3-b173-d3859df3b1ec,0.07292866706848145,7.196802205663337e-07,1.0076839661103694e-05,62.5,0.0,141.20069217681885,1.2351365553008237e-06,0,2.7538236402801976e-06,3.9889601955810485e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
calculate_percentage,2024-05-25T15:50:09,query_expansion_embeddings,2e62c1b3-d751-4db3-b173-d3859df3b1ec,0.16406559944152832,1.6838030374330903e-06,1.0187807626619813e-05,62.5,0.0,141.20069217681885,2.8676001562012504e-06,0,6.46518835399775e-06,9.332788510199e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
save_results,2024-05-25T15:50:09,query_expansion_embeddings,2e62c1b3-d751-4db3-b173-d3859df3b1ec,0.016186237335205078,1.427908392711446e-07,9.616843912171731e-06,62.5,0.0,141.20069217681885,2.530217170715267e-07,0,5.384228132476439e-07,7.914445303192248e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.2,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
