Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b5.txt,2081.2807881773397,1280.7881773399015,1003.6945812807882,437.192118226601,13,1,1
0140.b5.txt,1689.922480620155,1232.5581395348838,682.1705426356589,596.8992248062016,11,0,1
0165.b5.txt,2077.5862068965516,1172.4137931034484,810.3448275862069,482.7586206896552,10,0,0
0200.b5.txt,1970.8029197080293,1167.8832116788321,810.2189781021898,613.1386861313869,7,1,2
0300.b5.txt,2148.9001692047377,989.8477157360406,913.7055837563452,499.15397631133675,15,4,10
0310.b5.txt,1849.8862774829418,1228.2031842304775,947.6876421531463,614.1015921152388,9,3,2
1003.b5.txt,1701.9607843137255,1262.7450980392157,596.0784313725491,470.5882352941176,8,2,2
1021.b5.txt,2032.2817314746883,1181.217901687454,674.9816581071167,337.49082905355834,12,1,4
1023.b5.txt,1599.443671766342,1439.499304589708,778.8595271210014,688.4561891515995,12,2,2
1057.b5.txt,1845.1178451178453,1151.5151515151515,936.026936026936,531.986531986532,9,0,1
1100.b5.txt,2062.289562289562,1279.4612794612794,833.3333333333333,395.6228956228956,13,2,2
1508.b5.txt,1458.3333333333335,1388.888888888889,486.11111111111114,516.9753086419753,16,1,4
1532.b5.txt,1791.5904936014626,1480.804387568556,475.3199268738574,393.0530164533821,12,0,1
1533.b5.txt,1719.414265470005,1384.0340103920641,552.66887104393,486.5375531412376,14,2,4
2019.b5.txt,1547.3032714412025,1282.051282051282,557.0291777188329,371.35278514588856,6,0,2
2028.b5.txt,1568.4931506849314,1602.7397260273974,554.7945205479452,458.90410958904107,9,1,5
2032.b5.txt,1307.9019073569482,1655.3133514986375,708.4468664850136,681.198910081744,11,2,2
2034.b5.txt,1827.2727272727275,1154.5454545454545,900.0,527.2727272727273,10,2,3
2066.b5.txt,1470.8603145235893,1591.1193339500462,601.2950971322849,416.28122109158187,7,0,2
3018.b5.txt,1703.4220532319391,1178.7072243346006,821.2927756653993,615.9695817490494,7,2,2
3020.b5.txt,1996.0861056751467,968.6888454011741,929.5499021526418,332.68101761252444,9,1,2
