Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b3.txt,2495.7651044607564,750.9881422924901,790.5138339920949,327.4985883681536,19,1,39
0105.b3.txt,1719.077568134172,1069.182389937107,943.3962264150944,492.66247379454927,7,0,8
0122.b3.txt,1839.2370572207085,1049.0463215258856,790.1907356948229,347.41144414168934,14,2,14
0130.b3.txt,1985.7697283311772,957.3091849935316,873.2212160413972,536.869340232859,11,5,12
0133.b3.txt,1672.4941724941725,984.8484848484848,716.7832167832167,460.3729603729604,38,4,19
0134.b3.txt,1878.491620111732,1131.2849162011173,970.6703910614525,977.6536312849162,11,0,10
0139.b3.txt,2470.5014749262536,1054.5722713864307,1054.5722713864307,457.22713864306786,10,1,8
0140.b3.txt,3550.8849557522126,851.7699115044247,763.2743362831858,365.04424778761063,5,0,2
0165.b3.txt,2386.4157870582835,904.0844424047729,871.9596145020652,344.1945846718678,43,0,21
0171.b3.txt,2090.3954802259886,1016.949152542373,1049.2332526230832,403.5512510088781,11,0,19
0200.b3.txt,2179.902755267423,956.2398703403566,1029.1734197730957,518.6385737439222,9,0,4
0300.b3.txt,1966.9117647058822,1041.6666666666667,992.6470588235294,361.5196078431373,23,1,14
0303.b3.txt,1861.111111111111,944.4444444444445,1000.0,527.7777777777778,2,0,1
0304.b3.txt,2099.644128113879,1032.0284697508896,756.2277580071175,542.7046263345196,6,4,9
0307.b3.txt,2047.3537604456824,933.1476323119778,974.9303621169917,292.4791086350975,12,4,20
0308.b3.txt,2038.1231671554253,1041.0557184750733,975.0733137829911,813.782991202346,4,1,4
0310.b3.txt,2061.955469506292,847.0474346563407,948.6931268151017,663.1171345595353,22,6,11
0313.b3.txt,2639.3141457440292,838.946723821188,1181.873851806491,428.6589099816289,5,2,13
1023.b3.txt,1701.388888888889,980.9027777777777,1041.6666666666667,607.6388888888889,8,0,7
1057.b3.txt,2190.038855528082,1151.5365595196045,787.707523843165,445.0724125750618,19,1,15
1066.b3.txt,2082.7943078913327,1080.2069857697284,1170.7632600258733,523.9327296248383,9,0,8
1069.b3.txt,1892.4074780618087,915.6810377718429,847.0049599389547,515.0705837466616,36,1,24
1082.b3.txt,2679.9007444168733,860.2150537634409,1129.032258064516,405.29363110008273,13,2,17
1097.b3.txt,1948.5953377166768,1028.0932456664673,1111.7752540346683,651.5242080095636,13,1,10
1100.b3.txt,2036.3636363636365,936.3636363636364,827.2727272727274,381.81818181818187,15,2,4
1102.b3.txt,2003.5149384885765,843.585237258348,1098.4182776801406,518.4534270650264,4,4,4
1112.b3.txt,2054.22314911366,1147.0281543274243,1063.6079249217935,594.3691345151199,8,0,9
1508.b3.txt,1931.613677264547,1091.7816436712658,821.8356328734253,395.9208158368326,18,1,19
1520.b3.txt,1670.9677419354837,1103.225806451613,754.8387096774194,406.4516129032258,20,1,29
1532.b3.txt,2073.6196319018404,1079.7546012269938,846.6257668711656,466.25766871165644,16,3,19
1533.b3.txt,2025.8620689655172,1058.4291187739464,838.1226053639847,402.2988505747126,8,0,15
1534.b3.txt,2118.8340807174886,1036.9955156950673,1210.7623318385652,622.1973094170404,13,0,9
1536.b3.txt,2080.7833537331703,850.673194614443,777.233782129743,532.4357405140759,13,3,6
2018.b3.txt,2172.0733427362484,1248.2369534555712,818.0535966149506,359.66149506346966,11,0,13
2034.b3.txt,1830.5084745762713,1471.1864406779662,779.6610169491526,508.4745762711865,14,0,11
