task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load_data,2024-05-25T15:36:31,text_classification_benchmarks,cba4807f-da1d-4bcc-b7f3-ce70f0be0750,0.3535797595977783,3.279467006811761e-06,9.195114140764026e-06,42.5,0.0,141.20069217681885,4.209318425920275e-06,0,1.396773157359064e-05,1.8177049999510915e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
split_vectorizer_fit,2024-05-25T15:36:42,text_classification_benchmarks,cba4807f-da1d-4bcc-b7f3-ce70f0be0750,10.760343551635742,9.90361598185314e-05,9.20558331469016e-06,42.5,0.0,141.20069217681885,0.0001270055981145965,0,0.0004219205612405199,0.0005489261593551164,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
train_classifier,2024-05-25T15:36:42,text_classification_benchmarks,cba4807f-da1d-4bcc-b7f3-ce70f0be0750,0.0599367618560791,5.48696624104927e-07,9.14506147412049e-06,42.5,0.0,141.20069217681885,7.069675458802236e-07,0,2.3342845692354668e-06,3.041252115115636e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
save_models,2024-05-25T15:36:44,text_classification_benchmarks,cba4807f-da1d-4bcc-b7f3-ce70f0be0750,2.8841702938079834,2.6535511722497414e-05,9.20512546610305e-06,42.5,0.0,141.20069217681885,3.403064178095924e-05,0,0.00011304732007704502,0.00014707796185800418,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
predict_and_save_report_logreg,2024-05-25T15:36:45,text_classification_benchmarks,cba4807f-da1d-4bcc-b7f3-ce70f0be0750,0.0355224609375,3.2379832844351667e-07,9.12848507621444e-06,42.5,0.0,141.20069217681885,4.1774395439359274e-07,0,1.3769679282541305e-06,1.7947118826477232e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.4.1,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5351791381836,machine,N
